Type,Mobility,Operator,Trace,Total host,Client,Algorithm,Port,Segment,RTT,Throughput,Packets,MOS,Stall Duration,Rep_level,Byte Size,Buffer level,Width,Height
3g,metro,Am,1,1,1,conv,58428,1,0.014,22659.514092859707,183,1.8780000000000001,0,237,361713,10000,320,180
3g,metro,Am,1,1,1,conv,58432,2,59.723,8985.608897084609,219,1.8780000000000001,0,237,348932,20000,320,180
3g,metro,Am,1,1,1,conv,58436,3,0.015,22692.00605718132,135,1.8780000000000001,0,237,232527,17928,320,180
3g,metro,Am,1,1,1,conv,58440,4,328.707,65282.76156072944,148,1.886,0,237,347702,19861,320,180
3g,metro,Am,1,1,1,conv,58444,5,140.111,85331.06351765839,98,1.886,0,237,236167,25988,320,180
3g,metro,Am,1,1,1,conv,58448,6,193.967,65409.017842822686,143,1.892,0,237,326851,28871,320,180
3g,metro,Am,1,1,1,conv,58452,7,0.012,87650.27075812273,77,1.892,0,237,194010,34805,320,180
3g,metro,Am,1,1,1,conv,58456,8,112.034,105598.5695626103,135,1.892,0,237,336198,40524,320,180
3g,metro,Am,1,1,1,conv,58460,9,201.16,132431.73490712186,230,1.8940000000000001,0,379,595525,44910,384,216
3g,metro,Am,1,1,1,conv,58464,10,0.059,141165.1131284123,92,1.943,0,560,347797,51358,512,288
3g,metro,Am,1,1,1,conv,58468,11,65.621,87006.81956689645,230,1.9809999999999999,0,560,590402,53159,512,288
3g,metro,Am,1,1,1,conv,58472,12,0.012,149213.81613889945,294,2.031,0,560,838377,55290,512,288
3g,metro,Am,1,1,1,conv,58476,13,29.787,177742.56437366578,344,2.061,0,560,927074,58597,512,288
3g,metro,Am,1,1,1,conv,58480,14,136.1,175570.1256689926,305,2.092,0,751,829086,60000,512,288
3g,metro,Am,1,1,1,conv,58484,15,19.983,182096.46775971926,363,2.117,0,751,1002419,60000,512,288
3g,metro,Am,1,1,1,conv,58488,16,19.225,224902.56625263608,318,2.13,0,751,1021124,60000,512,288
3g,metro,Am,1,1,1,conv,58492,17,17.839,313586.6425605847,312,2.189,0,1085,1155461,60000,640,360
3g,metro,Am,1,1,1,conv,58496,18,19.898,176930.85919209273,342,2.2159999999999997,0,1085,1020758,60000,640,360
3g,metro,Am,1,1,1,conv,58500,19,0.011,139665.47426954814,770,2.262,0,1085,2083791,51117,640,360
3g,metro,Am,1,1,1,conv,58504,20,61.738,210337.94696604175,368,2.316,0,1085,1430118,52368,640,360
3g,metro,Am,1,1,1,conv,58508,21,26.201,204994.75923575475,235,2.336,0,1085,1008563,55408,640,360
3g,metro,Am,1,1,1,conv,58512,22,68.634,153788.15959339967,752,2.364,0,1085,2001667,50403,640,360
3g,metro,Am,1,1,1,conv,58518,23,75.941,164709.37034718107,220,2.38,0,1085,784770,53208,640,360
3g,metro,Am,1,1,1,conv,58522,24,39.397,170529.13237922048,392,2.4,0,1085,1081930,54355,640,360
3g,metro,Am,1,1,1,conv,58526,25,0.014,148927.86340008074,557,2.418,0,1085,1553825,50614,640,360
3g,metro,Am,1,1,1,conv,58530,26,87.791,147888.38699491302,500,2.434,0,1085,1535940,47792,640,360
3g,metro,Am,1,1,1,conv,58534,27,0.011,127401.85568816884,417,2.451,0,1085,1084494,45945,640,360
3g,metro,Am,1,1,1,conv,58538,28,107.95,166800.61337425726,524,2.458,0,1085,1651427,43570,640,360
3g,metro,Am,1,1,1,conv,58542,29,63.376,233406.73538695765,326,2.467,0,1085,1286021,45334,640,360
3g,metro,Am,1,1,1,conv,58546,30,51.164,263643.6234815638,263,2.4730000000000003,0,1085,980951,49032,640,360
3g,metro,Am,1,1,1,conv,58550,31,24.054,267932.09376655205,386,2.5,0,1085,1591186,50440,640,360
3g,metro,Am,1,1,1,conv,58554,32,18.906,254564.454306292,379,2.511,0,1085,1646305,51352,640,360
3g,metro,Am,1,1,1,conv,58566,35,0.017,122500.9550220832,445,2.531,0,1085,1157736,50353,640,360
3g,metro,Am,1,1,1,conv,58570,36,348.331,103880.65431948037,760,2.542,0,1085,1909960,38534,640,360
3g,metro,Am,1,1,1,conv,58574,37,64.126,98236.1801734056,632,2.543,0,1085,1594595,29214,640,360
3g,metro,Am,1,1,1,conv,58578,38,0.052,85724.83240829544,410,2.545,0,1085,1031351,24119,640,360
3g,metro,Am,1,1,1,conv,58582,39,0.025,117030.14824147515,219,2.54,0,1085,564625,25094,640,360
3g,metro,Am,1,1,1,conv,58586,40,0.01,148837.53722383632,251,2.539,0,1085,656322,26613,640,360
3g,metro,Am,1,1,1,conv,58590,41,14.916,221257.2564600936,271,2.504,0,751,772154,29793,512,288
3g,metro,Am,1,1,1,conv,58594,42,26.221,151165.92854335986,507,2.533,0,1085,1355400,27430,640,360
3g,metro,Am,1,1,1,conv,58598,43,22.772,175845.16429488655,759,2.5469999999999997,0,1085,2108222,21970,640,360
3g,metro,Am,1,1,1,conv,58602,44,64.107,161995.76244047296,815,2.559,0,1085,2186147,15063,640,360
3g,metro,Am,1,1,1,conv,58606,45,44.659,179611.64816641997,690,2.569,0,1085,1879669,10990,640,360
3g,metro,Am,1,1,1,conv,58610,46,31.73,226129.76498473925,233,2.574,0,1085,681615,14351,640,360
3g,metro,Am,1,1,1,conv,58614,47,20.792,251653.4012842878,348,2.5789999999999997,0,1085,1091950,16411,640,360
3g,metro,Am,1,1,1,conv,58618,48,36.399,196554.8114876366,427,2.583,0,1085,1176473,16753,640,360
3g,metro,Am,1,1,1,conv,58624,49,27.223,257203.0242318773,217,2.582,0,1085,703289,20153,640,360
3g,metro,Am,1,1,1,conv,58628,50,29.926,153889.42031839825,265,2.582,0,1085,720983,21474,640,360
3g,metro,Am,1,1,1,conv,58632,51,96.629,80630.13074648048,442,2.5860000000000003,0,1085,1088753,13936,640,360
3g,metro,Am,1,1,1,conv,58636,52,0.056,105843.91515142783,616,2.4,4987,1085,1569404,10000,640,360
3g,metro,Am,1,1,1,conv,58640,53,66.365,91670.35175762056,623,2.246,11341,1085,1570074,10000,640,360
3g,metro,Am,1,1,1,conv,58644,54,116.226,85162.33918615514,737,2.162,16111,1085,1845151,10000,640,360
3g,metro,Am,1,1,1,conv,58648,55,120.725,33455.37863469875,847,2.01,47580,751,1781700,10000,512,288
3g,metro,Am,1,1,1,conv,58652,56,2278.397,35398.987148477754,743,1.889,45173,751,1698805,10000,512,288
3g,metro,Am,1,1,1,conv,58656,57,10.771,125491.52914597574,416,1.817,2632,751,1061018,10000,512,288
3g,metro,Am,1,1,1,conv,58660,58,64.178,96633.68905900288,208,1.815,0,751,521123,10309,512,288
3g,metro,Am,1,1,1,conv,58664,59,105.963,146444.37294815984,408,1.757,1694,751,1111309,10000,512,288
3g,metro,Am,1,1,1,conv,58668,60,36.328,196451.97388180747,463,1.706,1058,751,1290281,10000,512,288
3g,metro,Am,2,1,1,conv,58698,1,118.69,125617.91864280893,134,1.8780000000000001,0,237,361713,10000,320,180
3g,metro,Am,2,1,1,conv,58702,2,37.44,131988.9878760212,442,2.145,0,751,1177979,20000,512,288
3g,metro,Am,2,1,1,conv,58706,3,211.667,94350.3118324019,295,2.16,0,751,739055,21334,512,288
3g,metro,Am,2,1,1,conv,58710,4,494.126,75156.54958576111,461,2.217,0,751,1108104,15529,512,288
3g,metro,Am,2,1,1,conv,58714,5,51.66,164132.19163861006,259,2.207,0,751,697003,20521,512,288
3g,metro,Am,2,1,1,conv,58718,6,67.458,165293.4061236253,319,2.219,0,751,861234,24411,512,288
3g,metro,Am,2,1,1,conv,58722,7,92.229,170498.47197514476,118,2.201,0,751,482532,30669,512,288
3g,metro,Am,2,1,1,conv,58726,8,95.961,168227.4500158122,359,2.221,0,751,957294,34023,512,288
3g,metro,Am,2,1,1,conv,58730,9,80.837,171016.71356341615,640,2.3409999999999997,0,1085,1717354,32842,640,360
3g,metro,Am,2,1,1,conv,58734,10,78.207,153383.13210325356,176,2.401,0,1085,643961,37505,640,360
3g,metro,Am,2,1,1,conv,58738,11,86.846,152892.70958766868,321,2.443,0,1085,1095529,39191,640,360
3g,metro,Am,2,1,1,conv,58742,12,116.581,79295.98258066515,616,2.481,0,1085,1506876,28860,640,360
3g,metro,Am,2,1,1,conv,58746,13,40.078,57002.948645191034,561,2.434,0,751,1258498,15344,512,288
3g,metro,Am,2,1,1,conv,58750,14,151.263,69611.56945847976,349,2.396,0,751,829086,11544,512,288
3g,metro,Am,2,1,1,conv,58754,15,163.894,84431.97845721114,399,2.229,2008,751,1002419,10000,512,288
3g,metro,Am,2,1,1,conv,58758,16,125.364,104500.22529979606,399,2.133,1420,751,1021124,10000,512,288
3g,metro,Am,2,1,1,conv,58764,17,0.01,118999.64057521125,298,2.127,0,751,831790,10468,512,288
3g,metro,Am,2,1,1,conv,58768,18,48.493,108504.90515026504,281,2.105,0,751,721860,12057,512,288
3g,metro,Am,2,1,1,conv,58772,19,0.01,133589.33745439837,578,2.025,1852,751,1504580,10000,512,288
3g,metro,Am,2,1,1,conv,58776,20,0.055,136961.97405955524,339,2.0469999999999997,0,751,1020574,10816,512,288
3g,metro,Am,2,1,1,conv,58780,21,95.784,94813.62080560943,283,2.042,0,751,716094,11502,512,288
3g,metro,Am,2,1,1,conv,58784,22,23.516,182102.2442113232,519,2.05,0,751,1425736,11653,512,288
3g,metro,Am,2,1,1,conv,58788,23,74.462,171732.22552078092,204,2.042,0,751,545858,16481,512,288
3g,metro,Am,2,1,1,conv,58792,24,19.935,133874.79474983498,287,2.04,0,751,770331,18458,512,288
3g,metro,Am,2,1,1,conv,58796,25,49.305,77975.44738669538,451,2.026,0,751,1108631,11948,512,288
3g,metro,Am,2,1,1,conv,58800,26,0.01,82953.55288860059,457,1.9080000000000001,6876,751,1139718,10000,512,288
3g,metro,Am,2,1,1,conv,58804,27,105.149,121102.33851384286,205,1.905,0,751,759543,11447,512,288
