Timestamp,DL_bitrate
2017.11.25_12.06.29,3243
2017.11.25_12.06.30,3310
2017.11.25_12.06.31,1084
2017.11.25_12.06.32,2315
2017.11.25_12.06.33,2583
2017.11.25_12.06.34,2583
2017.11.25_12.06.35,2192
2017.11.25_12.06.36,7258
2017.11.25_12.06.37,12107
2017.11.25_12.06.38,8779
2017.11.25_12.06.39,11262
2017.11.25_12.06.40,6173
2017.11.25_12.06.41,2579
2017.11.25_12.06.42,4630
2017.11.25_12.06.44,4149
2017.11.25_12.06.45,3623
2017.11.25_12.06.46,3847
2017.11.25_12.06.46,3847
2017.11.25_12.06.47,3220
2017.11.25_12.06.48,1409
2017.11.25_12.06.49,1420
2017.11.25_12.06.50,2829
2017.11.25_12.06.51,3992
2017.11.25_12.06.52,3578
2017.11.25_12.06.54,4630
2017.11.25_12.06.55,3679
2017.11.25_12.06.56,1979
2017.11.25_12.06.57,2796
2017.11.25_12.06.58,2796
2017.11.25_12.06.58,3165
2017.11.25_12.06.59,3981
2017.11.25_12.07.00,2807
2017.11.25_12.07.01,1990
2017.11.25_12.07.03,2315
2017.11.25_12.07.04,4249
2017.11.25_12.07.05,3310
2017.11.25_12.07.06,1040
2017.11.25_12.07.07,2281
2017.11.25_12.07.08,2639
2017.11.25_12.07.09,581
2017.11.25_12.07.10,581
2017.11.25_12.07.10,2259
2017.11.25_12.07.11,3701
2017.11.25_12.07.12,3981
2017.11.25_12.07.14,3332
2017.11.25_12.07.15,2527
2017.11.25_12.07.16,3355
2017.11.25_12.07.17,5144
2017.11.25_12.07.18,5873
2017.11.25_12.07.19,3176
2017.11.25_12.07.20,3265
2017.11.25_12.07.21,3165
2017.11.25_12.07.22,3165
2017.11.25_12.07.23,1834
2017.11.25_12.07.24,2482
2017.11.25_12.07.25,5513
2017.11.25_12.07.26,4697
2017.11.25_12.07.27,2549
2017.11.25_12.07.28,1767
2017.11.25_12.07.29,1979
2017.11.25_12.07.30,1890
2017.11.25_12.07.31,3064
2017.11.25_12.07.33,4920
2017.11.25_12.07.33,4920
2017.11.25_12.07.34,2404
2017.11.25_12.07.35,4059
2017.11.25_12.07.36,5222
2017.11.25_12.07.37,4674
2017.11.25_12.07.38,5088
2017.11.25_12.07.39,5345
2017.11.25_12.07.40,1923
2017.11.25_12.07.42,514
2017.11.25_12.07.43,300
2017.11.25_12.07.44,436
2017.11.25_12.07.44,436
2017.11.25_12.07.45,704
2017.11.25_12.07.46,503
2017.11.25_12.07.47,300
2017.11.25_12.07.48,1856
2017.11.25_12.07.50,3690
2017.11.25_12.07.51,4742
2017.11.25_12.07.52,6520
2017.11.25_12.07.53,2717
2017.11.25_12.07.54,2952
2017.11.25_12.07.55,2840
2017.11.25_12.07.56,2840
2017.11.25_12.07.56,1878
2017.11.25_12.07.57,2404
2017.11.25_12.07.58,8723
2017.11.25_12.08.00,17458
2017.11.25_12.08.01,16418
2017.11.25_12.08.02,14158
2017.11.25_12.08.03,15333
2017.11.25_12.08.04,16406
2017.11.25_12.08.05,14617
2017.11.25_12.08.06,14617
2017.11.25_12.08.06,14449
2017.11.25_12.08.07,20791
2017.11.25_12.08.09,28720
2017.11.25_12.08.10,28832
2017.11.25_12.08.11,14841
2017.11.25_12.08.12,15355
2017.11.25_12.08.13,20354
2017.11.25_12.08.14,21070
2017.11.25_12.08.15,21752
2017.11.25_12.08.16,21752
2017.11.25_12.08.16,18867
2017.11.25_12.08.17,25398
2017.11.25_12.08.19,23531
2017.11.25_12.08.20,20783
2017.11.25_12.08.21,21249
2017.11.25_12.08.22,19370
2017.11.25_12.08.23,23822
2017.11.25_12.08.24,18006
2017.11.25_12.08.25,18006
2017.11.25_12.08.25,17894
2017.11.25_12.08.26,21685
2017.11.25_12.08.27,21696
2017.11.25_12.08.28,18800
2017.11.25_12.08.30,19337
2017.11.25_12.08.31,22155
2017.11.25_12.08.32,17245
2017.11.25_12.08.33,16183
2017.11.25_12.08.33,16183
2017.11.25_12.08.34,16026
2017.11.25_12.08.35,15087
2017.11.25_12.08.36,16966
2017.11.25_12.08.37,15780
2017.11.25_12.08.38,13487
2017.11.25_12.08.40,10613
2017.11.25_12.08.41,19381
2017.11.25_12.08.41,19381
2017.11.25_12.08.42,19359
2017.11.25_12.08.43,19191
2017.11.25_12.08.44,19985
2017.11.25_12.08.45,23553
2017.11.25_12.08.46,19437
2017.11.25_12.08.47,23642
2017.11.25_12.08.48,20824
2017.11.25_12.08.49,20824
2017.11.25_12.08.50,25611
2017.11.25_12.08.51,23665
2017.11.25_12.08.52,21585
2017.11.25_12.08.53,20410
2017.11.25_12.08.54,27288
2017.11.25_12.08.55,30509
2017.11.25_12.08.56,11239
2017.11.25_12.08.57,11239
2017.11.25_12.08.57,14684
2017.11.25_12.08.58,11586
2017.11.25_12.08.59,10423
2017.11.25_12.09.01,7403
2017.11.25_12.09.02,11038
2017.11.25_12.09.03,7806
2017.11.25_12.09.04,8041
2017.11.25_12.09.04,8041
2017.11.25_12.09.05,9864
2017.11.25_12.09.06,5558
2017.11.25_12.09.07,1655
2017.11.25_12.09.08,1632
2017.11.25_12.09.09,682
2017.11.25_12.09.11,1321
2017.11.25_12.09.11,1321
2017.11.25_12.09.12,2981
2017.11.25_12.09.13,2563
2017.11.25_12.09.14,1968
2017.11.25_12.09.15,1551
2017.11.25_12.09.16,1621
2017.11.25_12.09.17,1611
2017.11.25_12.09.18,1611
2017.11.25_12.09.18,1420
2017.11.25_12.09.19,1576
2017.11.25_12.09.20,1477
2017.11.25_12.09.21,1422
2017.11.25_12.09.23,1365
2017.11.25_12.09.24,782
2017.11.25_12.09.25,1130
2017.11.25_12.09.25,1130
2017.11.25_12.09.26,760
2017.11.25_12.09.27,894
2017.11.25_12.09.28,704
2017.11.25_12.09.29,300
2017.11.25_12.09.30,738
2017.11.25_12.09.31,738
2017.11.25_12.09.31,313
2017.11.25_12.09.32,300
2017.11.25_12.09.33,300
2017.11.25_12.09.34,749
2017.11.25_12.09.35,1498
2017.11.25_12.09.37,2147
2017.11.25_12.09.38,301
2017.11.25_12.09.38,301
2017.11.25_12.09.39,300
2017.11.25_12.09.40,300
2017.11.25_12.09.41,300
2017.11.25_12.09.42,300
2017.11.25_12.09.43,300
2017.11.25_12.09.44,300
2017.11.25_12.09.44,300
2017.11.25_12.09.45,300
2017.11.25_12.09.46,300
2017.11.25_12.09.47,300
2017.11.25_12.09.49,300
2017.11.25_12.09.50,300
2017.11.25_12.09.50,300
2017.11.25_12.09.51,300
2017.11.25_12.09.52,300
2017.11.25_12.09.53,300
2017.11.25_12.09.54,300
2017.11.25_12.09.55,300
2017.11.25_12.09.56,300
2017.11.25_12.09.57,300
2017.11.25_12.09.58,300
2017.11.25_12.09.59,300
2017.11.25_12.10.00,300
2017.11.25_12.10.01,2113
2017.11.25_12.10.02,2061
2017.11.25_12.10.02,2061
2017.11.25_12.10.03,1734
2017.11.25_12.10.04,3759
2017.11.25_12.10.05,3579
2017.11.25_12.10.07,2548
2017.11.25_12.10.08,3332
2017.11.25_12.10.08,3332
2017.11.25_12.10.09,3355
2017.11.25_12.10.10,3992
2017.11.25_12.10.11,4104
2017.11.25_12.10.12,6654
2017.11.25_12.10.13,7236
2017.11.25_12.10.14,6005
2017.11.25_12.10.14,6005
2017.11.25_12.10.15,5413
2017.11.25_12.10.16,6016
2017.11.25_12.10.17,5855
2017.11.25_12.10.19,8052
2017.11.25_12.10.19,8052
2017.11.25_12.10.20,10210
2017.11.25_12.10.21,10334
2017.11.25_12.10.22,9383
2017.11.25_12.10.23,9216
2017.11.25_12.10.24,9114
2017.11.25_12.10.24,9114
2017.11.25_12.10.25,6990
2017.11.25_12.10.26,5905
2017.11.25_12.10.27,4574
2017.11.25_12.10.28,4150
2017.11.25_12.10.29,4150
2017.11.25_12.10.29,4294
2017.11.25_12.10.31,3522
2017.11.25_12.10.32,4115
2017.11.25_12.10.33,3299
2017.11.25_12.10.34,2952
2017.11.25_12.10.34,2952
2017.11.25_12.10.35,2080
2017.11.25_12.10.36,1789
2017.11.25_12.10.37,1655
2017.11.25_12.10.38,950
2017.11.25_12.10.39,950
2017.11.25_12.10.39,805
2017.11.25_12.10.40,300
2017.11.25_12.10.41,480
2017.11.25_12.10.43,300
2017.11.25_12.10.44,413
2017.11.25_12.10.44,413
2017.11.25_12.10.45,581
2017.11.25_12.10.46,693
2017.11.25_12.10.47,1185
2017.11.25_12.10.48,1364
2017.11.25_12.10.49,1051
2017.11.25_12.10.49,1051
2017.11.25_12.10.50,928
2017.11.25_12.10.51,749
2017.11.25_12.10.52,357
2017.11.25_12.10.53,2091
2017.11.25_12.10.54,2091
2017.11.25_12.10.54,4317
2017.11.25_12.10.56,2113
2017.11.25_12.10.57,1565
2017.11.25_12.10.58,1353
2017.11.25_12.10.59,1453
2017.11.25_12.10.59,1453
2017.11.25_12.11.00,1017
2017.11.25_12.11.01,1778
2017.11.25_12.11.02,2404
2017.11.25_12.11.03,2091
2017.11.25_12.11.04,2091
2017.11.25_12.11.04,2807
2017.11.25_12.11.05,3522
2017.11.25_12.11.06,3858
2017.11.25_12.11.08,4518
2017.11.25_12.11.09,4943
2017.11.25_12.11.09,4943
2017.11.25_12.11.10,3713
2017.11.25_12.11.11,3388
2017.11.25_12.11.12,2057
2017.11.25_12.11.13,2259
2017.11.25_12.11.14,3690
2017.11.25_12.11.14,3690
2017.11.25_12.11.15,4697
2017.11.25_12.11.16,4641
2017.11.25_12.11.17,5882
2017.11.25_12.11.19,7001
2017.11.25_12.11.19,7001
2017.11.25_12.11.20,3500
2017.11.25_12.11.21,3634
2017.11.25_12.11.22,4955
2017.11.25_12.11.23,4519
2017.11.25_12.11.24,4585
2017.11.25_12.11.24,4585
2017.11.25_12.11.25,7638
2017.11.25_12.11.26,7247
2017.11.25_12.11.27,6934
2017.11.25_12.11.28,6341
2017.11.25_12.11.29,6341
2017.11.25_12.11.30,7280
2017.11.25_12.11.31,6475
2017.11.25_12.11.32,6050
2017.11.25_12.11.33,3959
2017.11.25_12.11.34,3153
2017.11.25_12.11.34,3153
2017.11.25_12.11.35,1599
2017.11.25_12.11.36,3299
2017.11.25_12.11.37,10087
2017.11.25_12.11.38,10087
2017.11.25_12.11.38,8566
2017.11.25_12.11.39,8958
2017.11.25_12.11.40,8209
2017.11.25_12.11.42,7460
2017.11.25_12.11.42,7460
2017.11.25_12.11.43,5033
2017.11.25_12.11.44,4182
2017.11.25_12.11.45,3310
2017.11.25_12.11.46,2952
2017.11.25_12.11.46,2952
2017.11.25_12.11.47,7772
2017.11.25_12.11.48,9047
2017.11.25_12.11.49,9361
2017.11.25_12.11.50,9361
2017.11.25_12.11.50,9327
2017.11.25_12.11.51,9841
2017.11.25_12.11.53,10210
2017.11.25_12.11.54,6263
2017.11.25_12.11.54,6263
2017.11.25_12.11.55,6833
2017.11.25_12.11.56,5457
2017.11.25_12.11.57,8264
2017.11.25_12.11.58,6386
2017.11.25_12.11.58,6386
2017.11.25_12.11.59,9159
2017.11.25_12.12.00,6922
2017.11.25_12.12.01,4339
2017.11.25_12.12.02,4339
2017.11.25_12.12.02,11307
2017.11.25_12.12.04,8276
2017.11.25_12.12.05,8153
2017.11.25_12.12.06,12984
2017.11.25_12.12.06,12984
2017.11.25_12.12.07,12749
2017.11.25_12.12.08,10356
2017.11.25_12.12.09,5245
2017.11.25_12.12.10,5245
2017.11.25_12.12.10,2974
2017.11.25_12.12.11,2494
2017.11.25_12.12.12,2158
2017.11.25_12.12.13,436
2017.11.25_12.12.14,436
2017.11.25_12.12.14,671
2017.11.25_12.12.16,1845
2017.11.25_12.12.17,2001
2017.11.25_12.12.18,2259
2017.11.25_12.12.18,2259
2017.11.25_12.12.19,6374
2017.11.25_12.12.20,10311
2017.11.25_12.12.21,10121
2017.11.25_12.12.22,10121
2017.11.25_12.12.22,11385
2017.11.25_12.12.23,11206
2017.11.25_12.12.24,12235
2017.11.25_12.12.25,11239
2017.11.25_12.12.26,11239
2017.11.25_12.12.27,10300
2017.11.25_12.12.28,10893
2017.11.25_12.12.29,9752
2017.11.25_12.12.30,8634
2017.11.25_12.12.30,8634
2017.11.25_12.12.31,7146
2017.11.25_12.12.32,7303
2017.11.25_12.12.33,4742
2017.11.25_12.12.34,4742
2017.11.25_12.12.34,4932
2017.11.25_12.12.35,3612
2017.11.25_12.12.36,3366
2017.11.25_12.12.38,1890
2017.11.25_12.12.38,1890
2017.11.25_12.12.39,1252
2017.11.25_12.12.40,1878
2017.11.25_12.12.41,1610
2017.11.25_12.12.42,2013
2017.11.25_12.12.42,2013
2017.11.25_12.12.43,1386
2017.11.25_12.12.44,1241
2017.11.25_12.12.45,1566
2017.11.25_12.12.46,1566
2017.11.25_12.12.46,682
2017.11.25_12.12.47,548
2017.11.25_12.12.49,5111
2017.11.25_12.12.50,3993
2017.11.25_12.12.50,3993
2017.11.25_12.12.51,2695
2017.11.25_12.12.52,2102
2017.11.25_12.12.53,3478
2017.11.25_12.12.54,2415
2017.11.25_12.12.54,2415
2017.11.25_12.12.55,1689
2017.11.25_12.12.56,3433
2017.11.25_12.12.57,8054
2017.11.25_12.12.58,8054
2017.11.25_12.12.59,8426
2017.11.25_12.13.00,7034
2017.11.25_12.13.01,11441
2017.11.25_12.13.02,6721
2017.11.25_12.13.02,6721
2017.11.25_12.13.03,4332
2017.11.25_12.13.04,8063
2017.11.25_12.13.05,12582
2017.11.25_12.13.06,12582
2017.11.25_12.13.06,11776
2017.11.25_12.13.07,12995
2017.11.25_12.13.08,11787
2017.11.25_12.13.09,9942
2017.11.25_12.13.10,9942
2017.11.25_12.13.11,9282
2017.11.25_12.13.12,7661
2017.11.25_12.13.13,7258
2017.11.25_12.13.14,2863
2017.11.25_12.13.14,2863
2017.11.25_12.13.15,436
2017.11.25_12.13.16,300
2017.11.25_12.13.17,1140
2017.11.25_12.13.18,1140
2017.11.25_12.13.18,300
2017.11.25_12.13.19,300
2017.11.25_12.13.20,300
2017.11.25_12.13.21,2113
2017.11.25_12.13.22,2113
2017.11.25_12.13.23,313
2017.11.25_12.13.24,300
2017.11.25_12.13.25,503
2017.11.25_12.13.26,648
2017.11.25_12.13.26,648
2017.11.25_12.13.27,1006
2017.11.25_12.13.28,771
2017.11.25_12.13.29,581
2017.11.25_12.13.30,581
2017.11.25_12.13.30,402
2017.11.25_12.13.31,369
2017.11.25_12.13.32,1623
2017.11.25_12.13.34,782
2017.11.25_12.13.34,782
2017.11.25_12.13.35,1197
2017.11.25_12.13.36,693
2017.11.25_12.13.37,2505
2017.11.25_12.13.38,1498
2017.11.25_12.13.38,1498
2017.11.25_12.13.39,2136
2017.11.25_12.13.40,4876
2017.11.25_12.13.41,3455
2017.11.25_12.13.42,3455
2017.11.25_12.13.42,5200
2017.11.25_12.13.43,2851
2017.11.25_12.13.45,4093
2017.11.25_12.13.45,4093
2017.11.25_12.13.46,4876
2017.11.25_12.13.47,4797
2017.11.25_12.13.48,4206
2017.11.25_12.13.48,4206
2017.11.25_12.13.49,3415
2017.11.25_12.13.50,3225
2017.11.25_12.13.51,3225
2017.11.25_12.13.51,3895
2017.11.25_12.13.52,4625
2017.11.25_12.13.53,2013
2017.11.25_12.13.54,2013
2017.11.25_12.13.54,3825
2017.11.25_12.13.55,4607
2017.11.25_12.13.57,2449
2017.11.25_12.13.57,2449
2017.11.25_12.13.58,1107
2017.11.25_12.13.59,1498
2017.11.25_12.14.00,3243
2017.11.25_12.14.00,3243
2017.11.25_12.14.01,11038
2017.11.25_12.14.02,10937
2017.11.25_12.14.03,10937
2017.11.25_12.14.03,7907
2017.11.25_12.14.04,8119
2017.11.25_12.14.05,5983
2017.11.25_12.14.06,5983
2017.11.25_12.14.06,6162
2017.11.25_12.14.08,5580
2017.11.25_12.14.09,7157
2017.11.25_12.14.09,7157
2017.11.25_12.14.10,4317
2017.11.25_12.14.11,3970
2017.11.25_12.14.12,2326
2017.11.25_12.14.12,2326
2017.11.25_12.14.13,961
2017.11.25_12.14.14,1711
2017.11.25_12.14.15,1711
2017.11.25_12.14.15,3232
2017.11.25_12.14.16,6006
2017.11.25_12.14.17,6890
2017.11.25_12.14.18,6890
2017.11.25_12.14.19,5335
2017.11.25_12.14.20,5357
2017.11.25_12.14.21,5939
2017.11.25_12.14.21,5939
2017.11.25_12.14.22,6923
2017.11.25_12.14.23,7236
2017.11.25_12.14.24,5458
2017.11.25_12.14.24,5458
2017.11.25_12.14.25,4194
2017.11.25_12.14.26,5234
2017.11.25_12.14.27,5234
2017.11.25_12.14.27,5312
2017.11.25_12.14.28,6375
2017.11.25_12.14.30,5637
2017.11.25_12.14.30,5637
2017.11.25_12.14.31,6297
2017.11.25_12.14.32,4898
2017.11.25_12.14.33,3869
2017.11.25_12.14.33,3869
2017.11.25_12.14.34,3377
2017.11.25_12.14.35,1845
2017.11.25_12.14.36,300
2017.11.25_12.14.36,300
2017.11.25_12.14.37,4026
2017.11.25_12.14.38,7045
2017.11.25_12.14.39,7045
2017.11.25_12.14.39,4787
2017.11.25_12.14.40,4474
2017.11.25_12.14.42,3825
2017.11.25_12.14.42,3825
2017.11.25_12.14.43,5066
2017.11.25_12.14.44,7740
2017.11.25_12.14.45,4820
2017.11.25_12.14.45,4820
2017.11.25_12.14.46,6363
2017.11.25_12.14.47,2203
2017.11.25_12.14.48,2203
2017.11.25_12.14.48,3511
2017.11.25_12.14.49,7885
2017.11.25_12.14.50,9037
2017.11.25_12.14.51,9037
2017.11.25_12.14.52,8634
2017.11.25_12.14.53,6934
2017.11.25_12.14.54,7024
2017.11.25_12.14.54,7024
2017.11.25_12.14.55,7191
2017.11.25_12.14.56,6419
2017.11.25_12.14.57,6620
2017.11.25_12.14.57,6620
2017.11.25_12.14.58,5938
2017.11.25_12.14.59,6084
2017.11.25_12.15.00,6084
2017.11.25_12.15.00,5972
2017.11.25_12.15.01,5457
2017.11.25_12.15.03,5122
2017.11.25_12.15.03,5122
2017.11.25_12.15.04,4820
2017.11.25_12.15.05,3567
2017.11.25_12.15.06,3803
2017.11.25_12.15.06,3803
2017.11.25_12.15.07,4999
2017.11.25_12.15.08,4719
2017.11.25_12.15.09,5077
2017.11.25_12.15.09,5077
2017.11.25_12.15.10,2695
2017.11.25_12.15.11,1979
2017.11.25_12.15.12,1979
