Timestamp,DL_bitrate
2018.02.02_10.29.49,10669
2018.02.02_10.29.50,8220
2018.02.02_10.29.51,10300
2018.02.02_10.29.53,10065
2018.02.02_10.29.54,7258
2018.02.02_10.29.55,14148
2018.02.02_10.29.56,25913
2018.02.02_10.29.57,25175
2018.02.02_10.29.58,27792
2018.02.02_10.29.59,24504
2018.02.02_10.30.00,67227
2018.02.02_10.30.02,86452
2018.02.02_10.30.03,89192
2018.02.02_10.30.04,94348
2018.02.02_10.30.05,88677
2018.02.02_10.30.06,87827
2018.02.02_10.30.07,62406
2018.02.02_10.30.08,55830
2018.02.02_10.30.09,54376
2018.02.02_10.30.10,70735
2018.02.02_10.30.11,48594
2018.02.02_10.30.12,58078
2018.02.02_10.30.13,58078
2018.02.02_10.30.13,78220
2018.02.02_10.30.14,61858
2018.02.02_10.30.16,25645
2018.02.02_10.30.17,29469
2018.02.02_10.30.18,37063
2018.02.02_10.30.19,44289
2018.02.02_10.30.20,45743
2018.02.02_10.30.21,44199
2018.02.02_10.30.22,32634
2018.02.02_10.30.23,24359
2018.02.02_10.30.24,23866
2018.02.02_10.30.25,11720
2018.02.02_10.30.27,12706
2018.02.02_10.30.28,11765
2018.02.02_10.30.29,23150
2018.02.02_10.30.30,15131
2018.02.02_10.30.31,28474
2018.02.02_10.30.32,27322
2018.02.02_10.30.33,28463
2018.02.02_10.30.34,23412
2018.02.02_10.30.35,12770
2018.02.02_10.30.37,19035
2018.02.02_10.30.38,24783
2018.02.02_10.30.39,22971
2018.02.02_10.30.40,25857
2018.02.02_10.30.41,34513
2018.02.02_10.30.42,32545
2018.02.02_10.30.43,28563
2018.02.02_10.30.44,18744
2018.02.02_10.30.45,16641
2018.02.02_10.30.47,27322
2018.02.02_10.30.48,17502
2018.02.02_10.30.49,23363
2018.02.02_10.30.50,30912
2018.02.02_10.30.51,20690
2018.02.02_10.30.52,10926
2018.02.02_10.30.53,6028
2018.02.02_10.30.54,2147
2018.02.02_10.30.55,300
2018.02.02_10.30.57,300
2018.02.02_10.30.58,300
2018.02.02_10.30.59,300
2018.02.02_10.31.00,816
2018.02.02_10.31.01,1666
2018.02.02_10.31.02,2796
2018.02.02_10.31.03,300
2018.02.02_10.31.11,300
2018.02.02_10.31.22,300
2018.02.02_10.31.24,300
2018.02.02_10.31.25,300
2018.02.02_10.31.26,300
2018.02.02_10.31.27,300
2018.02.02_10.31.28,300
2018.02.02_10.31.29,300
2018.02.02_10.31.30,300
2018.02.02_10.31.31,300
2018.02.02_10.31.32,300
2018.02.02_10.31.33,300
2018.02.02_10.31.34,300
2018.02.02_10.31.35,300
2018.02.02_10.31.36,300
2018.02.02_10.31.38,300
2018.02.02_10.31.39,300
2018.02.02_10.31.40,300
2018.02.02_10.31.41,300
2018.02.02_10.31.42,300
2018.02.02_10.31.43,300
2018.02.02_10.31.44,300
2018.02.02_10.31.45,300
2018.02.02_10.31.46,300
2018.02.02_10.31.47,300
