Timestamp,DL_bitrate
2018.01.17_15.57.54,13387
2018.01.17_15.57.55,12626
2018.01.17_15.57.57,13980
2018.01.17_15.57.58,13096
2018.01.17_15.57.59,12503
2018.01.17_15.58.00,13801
2018.01.17_15.58.01,12660
2018.01.17_15.58.02,13353
2018.01.17_15.58.03,12705
2018.01.17_15.58.04,12022
2018.01.17_15.58.05,12414
2018.01.17_15.58.06,8555
2018.01.17_15.58.08,11362
2018.01.17_15.58.09,13722
2018.01.17_15.58.10,13051
2018.01.17_15.58.11,13241
2018.01.17_15.58.12,9003
2018.01.17_15.58.13,9942
2018.01.17_15.58.14,12335
2018.01.17_15.58.15,10960
2018.01.17_15.58.16,12716
2018.01.17_15.58.18,9305
2018.01.17_15.58.19,11843
2018.01.17_15.58.20,13006
2018.01.17_15.58.21,11743
2018.01.17_15.58.22,13051
2018.01.17_15.58.23,13868
2018.01.17_15.58.24,12649
2018.01.17_15.58.25,12201
2018.01.17_15.58.26,12660
2018.01.17_15.58.28,14214
2018.01.17_15.58.29,11251
2018.01.17_15.58.30,12693
2018.01.17_15.58.31,13487
2018.01.17_15.58.32,10714
2018.01.17_15.58.33,15858
2018.01.17_15.58.34,13957
2018.01.17_15.58.35,7486
2018.01.17_15.58.36,12045
2018.01.17_15.58.37,11597
2018.01.17_15.58.39,12257
2018.01.17_15.58.40,10490
2018.01.17_15.58.41,14718
2018.01.17_15.58.42,12839
2018.01.17_15.58.43,14248
2018.01.17_15.58.44,10323
2018.01.17_15.58.46,15355
2018.01.17_15.58.47,13532
2018.01.17_15.58.48,14751
2018.01.17_15.58.49,16496
2018.01.17_15.58.50,15310
2018.01.17_15.58.51,16440
2018.01.17_15.58.52,14774
2018.01.17_15.58.53,16339
2018.01.17_15.58.54,16339
2018.01.17_15.58.55,15769
2018.01.17_15.58.56,17480
2018.01.17_15.58.57,15892
2018.01.17_15.58.58,19124
2018.01.17_15.58.59,12962
2018.01.17_15.59.00,21786
2018.01.17_15.59.01,23655
2018.01.17_15.59.02,18042
2018.01.17_15.59.03,23427
2018.01.17_15.59.04,23571
2018.01.17_15.59.06,23162
2018.01.17_15.59.07,21283
2018.01.17_15.59.08,20668
2018.01.17_15.59.09,20533
2018.01.17_15.59.10,19180
2018.01.17_15.59.11,14304
2018.01.17_15.59.12,18878
2018.01.17_15.59.13,19191
2018.01.17_15.59.14,20410
2018.01.17_15.59.15,17995
2018.01.17_15.59.17,20947
2018.01.17_15.59.18,17033
2018.01.17_15.59.19,20556
2018.01.17_15.59.20,18621
2018.01.17_15.59.21,17637
2018.01.17_15.59.22,8566
2018.01.17_15.59.23,13241
2018.01.17_15.59.24,11396
2018.01.17_15.59.25,15143
2018.01.17_15.59.26,19784
2018.01.17_15.59.28,18990
2018.01.17_15.59.29,19023
2018.01.17_15.59.30,14114
2018.01.17_15.59.31,18677
2018.01.17_15.59.32,10859
2018.01.17_15.59.33,6822
2018.01.17_15.59.34,6475
2018.01.17_15.59.35,6844
2018.01.17_15.59.36,11955
2018.01.17_15.59.38,9361
2018.01.17_15.59.39,6084
2018.01.17_15.59.40,5312
2018.01.17_15.59.41,10121
2018.01.17_15.59.42,12414
2018.01.17_15.59.43,11340
2018.01.17_15.59.44,15691
2018.01.17_15.59.45,15422
2018.01.17_15.59.46,13275
2018.01.17_15.59.48,14639
2018.01.17_15.59.49,14438
2018.01.17_15.59.50,13062
2018.01.17_15.59.51,12458
2018.01.17_15.59.52,16418
2018.01.17_15.59.53,16194
2018.01.17_15.59.54,16608
2018.01.17_15.59.55,15903
2018.01.17_15.59.56,12526
2018.01.17_15.59.58,14483
2018.01.17_15.59.59,16988
2018.01.17_16.00.00,15344
2018.01.17_16.00.01,11251
2018.01.17_16.00.02,17200
2018.01.17_16.00.03,16921
2018.01.17_16.00.04,16183
2018.01.17_16.00.05,13779
2018.01.17_16.00.06,15806
2018.01.17_16.00.07,17514
2018.01.17_16.00.09,16888
2018.01.17_16.00.10,17368
2018.01.17_16.00.11,16787
2018.01.17_16.00.12,16865
2018.01.17_16.00.13,13779
2018.01.17_16.00.14,13030
2018.01.17_16.00.15,10032
2018.01.17_16.00.16,15625
2018.01.17_16.00.17,7907
2018.01.17_16.00.19,14505
2018.01.17_16.00.20,18263
2018.01.17_16.00.21,11910
2018.01.17_16.00.22,9294
2018.01.17_16.00.23,6934
2018.01.17_16.00.24,10982
2018.01.17_16.00.25,7974
2018.01.17_16.00.26,10593
2018.01.17_16.00.27,16530
2018.01.17_16.00.28,11966
2018.01.17_16.00.30,6475
2018.01.17_16.00.31,10568
2018.01.17_16.00.32,7705
2018.01.17_16.00.33,19549
2018.01.17_16.00.34,15523
2018.01.17_16.00.35,16496
2018.01.17_16.00.36,12928
2018.01.17_16.00.37,14774
2018.01.17_16.00.38,13376
2018.01.17_16.00.39,10143
2018.01.17_16.00.41,11810
2018.01.17_16.00.42,11083
2018.01.17_16.00.43,12168
2018.01.17_16.00.44,14192
2018.01.17_16.00.45,15456
2018.01.17_16.00.46,13856
2018.01.17_16.00.47,16272
2018.01.17_16.00.48,17167
2018.01.17_16.00.49,14237
2018.01.17_16.00.51,15635
2018.01.17_16.00.52,14114
2018.01.17_16.00.53,16406
2018.01.17_16.00.54,15858
2018.01.17_16.00.55,16418
2018.01.17_16.00.56,15545
2018.01.17_16.00.57,13320
2018.01.17_16.00.58,17715
2018.01.17_16.00.59,17122
2018.01.17_16.01.01,14796
2018.01.17_16.01.02,15366
2018.01.17_16.01.03,19001
2018.01.17_16.01.04,17637
2018.01.17_16.01.05,17079
2018.01.17_16.01.06,17963
2018.01.17_16.01.07,11709
2018.01.17_16.01.08,15020
2018.01.17_16.01.09,18688
2018.01.17_16.01.10,17402
2018.01.17_16.01.12,17379
2018.01.17_16.01.13,18654
2018.01.17_16.01.14,19874
2018.01.17_16.01.15,19381
2018.01.17_16.01.16,18066
2018.01.17_16.01.17,10759
2018.01.17_16.01.18,12268
2018.01.17_16.01.19,10468
2018.01.17_16.01.20,8343
2018.01.17_16.01.22,9137
2018.01.17_16.01.23,4205
2018.01.17_16.01.24,2762
2018.01.17_16.01.25,3008
2018.01.17_16.01.26,3097
2018.01.17_16.01.27,1274
2018.01.17_16.01.28,827
2018.01.17_16.01.29,1330
2018.01.17_16.01.30,1509
2018.01.17_16.01.32,2796
2018.01.17_16.01.33,4249
2018.01.17_16.01.34,6911
2018.01.17_16.01.35,8432
2018.01.17_16.01.36,11553
2018.01.17_16.01.37,11027
2018.01.17_16.01.38,9651
2018.01.17_16.01.39,10032
2018.01.17_16.01.40,10736
2018.01.17_16.01.41,10983
2018.01.17_16.01.43,11799
2018.01.17_16.01.44,12313
2018.01.17_16.01.45,8320
2018.01.17_16.01.46,9942
2018.01.17_16.01.47,7314
2018.01.17_16.01.48,10199
2018.01.17_16.01.49,10512
2018.01.17_16.01.50,12257
2018.01.17_16.01.51,9506
2018.01.17_16.01.53,4898
2018.01.17_16.01.54,7470
2018.01.17_16.01.55,7034
2018.01.17_16.01.56,8745
2018.01.17_16.01.57,8913
2018.01.17_16.01.58,8108
2018.01.17_16.01.59,11664
2018.01.17_16.02.00,12783
2018.01.17_16.02.01,8913
2018.01.17_16.02.02,10065
2018.01.17_16.02.04,8287
2018.01.17_16.02.05,10322
2018.01.17_16.02.06,12291
2018.01.17_16.02.07,11922
2018.01.17_16.02.08,11105
2018.01.17_16.02.09,14147
2018.01.17_16.02.10,11664
2018.01.17_16.02.11,12313
2018.01.17_16.02.12,8812
2018.01.17_16.02.14,8488
2018.01.17_16.02.15,9126
2018.01.17_16.02.16,10334
2018.01.17_16.02.17,7336
2018.01.17_16.02.18,7817
2018.01.17_16.02.19,9528
2018.01.17_16.02.20,9282
2018.01.17_16.02.21,10255
2018.01.17_16.02.22,9338
2018.01.17_16.02.23,6632
2018.01.17_16.02.25,7974
2018.01.17_16.02.26,11161
2018.01.17_16.02.27,10557
2018.01.17_16.02.28,11720
2018.01.17_16.02.29,11150
2018.01.17_16.02.30,9584
2018.01.17_16.02.31,10960
2018.01.17_16.02.32,14606
2018.01.17_16.02.33,10792
2018.01.17_16.02.35,15624
2018.01.17_16.02.36,12895
2018.01.17_16.02.37,10524
2018.01.17_16.02.38,7403
2018.01.17_16.02.39,11955
2018.01.17_16.02.40,8466
2018.01.17_16.02.41,3109
2018.01.17_16.02.42,1040
2018.01.17_16.02.43,300
2018.01.17_16.02.44,1509
2018.01.17_16.02.46,6207
2018.01.17_16.02.47,8052
2018.01.17_16.02.48,6341
2018.01.17_16.02.49,4574
2018.01.17_16.02.50,5055
2018.01.17_16.02.51,7347
2018.01.17_16.02.52,8108
2018.01.17_16.02.53,10289
2018.01.17_16.02.54,11743
2018.01.17_16.02.55,9808
2018.01.17_16.02.57,5826
2018.01.17_16.02.58,5524
2018.01.17_16.02.59,3701
2018.01.17_16.03.00,4082
2018.01.17_16.03.01,5838
2018.01.17_16.03.02,3556
2018.01.17_16.03.03,3220
2018.01.17_16.03.04,984
2018.01.17_16.03.06,1118
2018.01.17_16.03.07,3936
2018.01.17_16.03.08,2393
2018.01.17_16.03.09,1219
2018.01.17_16.03.10,1185
2018.01.17_16.03.11,1308
2018.01.17_16.03.12,1733
2018.01.17_16.03.13,2080
2018.01.17_16.03.14,2583
2018.01.17_16.03.16,1923
2018.01.17_16.03.17,1677
2018.01.17_16.03.18,1487
2018.01.17_16.03.19,2415
2018.01.17_16.03.20,2907
2018.01.17_16.03.21,2952
2018.01.17_16.03.22,1856
2018.01.17_16.03.23,2225
2018.01.17_16.03.24,3019
2018.01.17_16.03.26,2919
2018.01.17_16.03.27,4596
2018.01.17_16.03.28,5043
2018.01.17_16.03.29,4786
2018.01.17_16.03.30,5043
2018.01.17_16.03.31,3109
2018.01.17_16.03.32,4809
2018.01.17_16.03.33,6878
2018.01.17_16.03.34,5222
2018.01.17_16.03.35,7762
2018.01.17_16.03.37,3780
2018.01.17_16.03.38,5290
2018.01.17_16.03.39,8007
2018.01.17_16.03.40,7795
2018.01.17_16.03.41,10870
2018.01.17_16.03.42,7515
2018.01.17_16.03.43,7515
2018.01.17_16.03.43,3232
2018.01.17_16.03.44,1140
2018.01.17_16.03.45,648
2018.01.17_16.03.47,1386
2018.01.17_16.03.48,738
2018.01.17_16.03.49,480
2018.01.17_16.03.50,738
2018.01.17_16.03.51,1051
2018.01.17_16.03.52,1140
2018.01.17_16.03.53,2091
2018.01.17_16.03.54,1465
2018.01.17_16.03.55,1946
2018.01.17_16.03.56,2605
2018.01.17_16.03.58,2885
2018.01.17_16.03.59,4529
2018.01.17_16.04.00,3288
2018.01.17_16.04.01,1297
2018.01.17_16.04.02,1666
2018.01.17_16.04.03,1767
2018.01.17_16.04.04,693
2018.01.17_16.04.05,548
2018.01.17_16.04.06,1073
2018.01.17_16.04.07,1107
2018.01.17_16.04.09,1330
2018.01.17_16.04.10,2236
2018.01.17_16.04.11,1096
2018.01.17_16.04.12,559
2018.01.17_16.04.13,1196
2018.01.17_16.04.14,1666
2018.01.17_16.04.15,1890
2018.01.17_16.04.16,1599
2018.01.17_16.04.18,2449
2018.01.17_16.04.19,3701
2018.01.17_16.04.20,2349
2018.01.17_16.04.21,300
2018.01.17_16.04.22,300
2018.01.17_16.04.23,4484
2018.01.17_16.04.24,2706
2018.01.17_16.04.25,3813
2018.01.17_16.04.26,3690
2018.01.17_16.04.28,1722
2018.01.17_16.04.29,2650
2018.01.17_16.04.30,3377
2018.01.17_16.04.31,2102
2018.01.17_16.04.32,2415
2018.01.17_16.04.33,2494
2018.01.17_16.04.34,2348
2018.01.17_16.04.35,4272
2018.01.17_16.04.36,4462
2018.01.17_16.04.38,3824
2018.01.17_16.04.39,3019
2018.01.17_16.04.40,1409
2018.01.17_16.04.41,300
2018.01.17_16.04.42,581
2018.01.17_16.04.43,300
2018.01.17_16.04.44,1263
2018.01.17_16.04.45,2102
2018.01.17_16.04.46,1588
2018.01.17_16.04.48,3165
2018.01.17_16.04.49,3377
2018.01.17_16.04.50,1711
2018.01.17_16.04.51,1342
2018.01.17_16.04.52,1096
2018.01.17_16.04.53,1028
2018.01.17_16.04.54,1129
2018.01.17_16.04.55,1532
2018.01.17_16.04.56,1207
2018.01.17_16.04.58,1878
2018.01.17_16.04.59,1107
2018.01.17_16.05.00,391
2018.01.17_16.05.00,391
2018.01.17_16.05.01,581
2018.01.17_16.05.02,1017
2018.01.17_16.05.03,1364
2018.01.17_16.05.04,1342
2018.01.17_16.05.05,346
2018.01.17_16.05.06,1129
2018.01.17_16.05.07,300
2018.01.17_16.05.09,391
2018.01.17_16.05.10,402
2018.01.17_16.05.11,1856
2018.01.17_16.05.12,2426
2018.01.17_16.05.13,3847
2018.01.17_16.05.14,5547
2018.01.17_16.05.15,6151
2018.01.17_16.05.16,5077
2018.01.17_16.05.17,5457
2018.01.17_16.05.19,4462
2018.01.17_16.05.20,5692
2018.01.17_16.05.21,5502
2018.01.17_16.05.22,5938
2018.01.17_16.05.23,7191
2018.01.17_16.05.24,7414
2018.01.17_16.05.25,5871
2018.01.17_16.05.26,7057
2018.01.17_16.05.27,7079
2018.01.17_16.05.28,7649
2018.01.17_16.05.30,8187
2018.01.17_16.05.31,7672
2018.01.17_16.05.32,9406
2018.01.17_16.05.33,7202
2018.01.17_16.05.34,8835
2018.01.17_16.05.35,9305
2018.01.17_16.05.36,7124
2018.01.17_16.05.37,6464
2018.01.17_16.05.38,7336
2018.01.17_16.05.39,9506
2018.01.17_16.05.41,5983
2018.01.17_16.05.42,10445
2018.01.17_16.05.43,8108
2018.01.17_16.05.44,3478
2018.01.17_16.05.45,7851
2018.01.17_16.05.46,5860
2018.01.17_16.05.47,7448
2018.01.17_16.05.48,7750
2018.01.17_16.05.49,9383
2018.01.17_16.05.51,10143
2018.01.17_16.05.52,10278
2018.01.17_16.05.53,10266
2018.01.17_16.05.54,7895
2018.01.17_16.05.55,10143
2018.01.17_16.05.56,12011
2018.01.17_16.05.57,10155
2018.01.17_16.05.58,11608
2018.01.17_16.05.59,11005
